Food_items,VegNovVeg,Junk Food,Calories,Fats,Proteins,Iron,Calcium,Sodium,Potassium,Carbohydrates,Fibre,VitaminD,Sugars,Link
Chappati,0,0,297,7.5,11.0,3.01,93.0,409.0,266.0,46.0,4.9,0.0,2.7,https://th.bing.com/th/id/R.904b06129c0dc95dbe984074a2567224?rik=%2bMbB0wia2L0IzQ&riu=http%3a%2f%2fslurrp.club%2fwp-content%2fuploads%2f2019%2f05%2fDSC_0935.jpg&ehk=C3vZ3lQkhVpDqDW8sx%2bLW2jAZ%2bg7e3MI%2fFD5gkchMxk%3d&risl=&pid=ImgRaw&r=0
Tomato,0,0,16,0.2,1.2,0.47,5.0,42.0,212.0,3.2,0.9,0.0,2.63,https://th.bing.com/th/id/OIP.r9X56QTUr11OfESIsUrWKQHaGK?rs=1&pid=ImgDetMain
Yogurt,0,0,60,4.0,3.1,0.08,183.0,70.0,234.0,7.0,0.0,1.0,7.0,https://th.bing.com/th/id/OIP.ryzOLON7LTzJr8jto77BJwHaE8?rs=1&pid=ImgDetMain
Noodles,0,1,108,0.2,1.8,0.14,4.0,19.0,4.0,24.0,1.0,0.0,0.0,https://th.bing.com/th/id/OIP.ZKZNwJ55lwbMLdCGE9gxbAHaFD?o=7rm=3&rs=1&pid=ImgDetMain
Uttapam,0,0,188,7.2,4.4,24.0,6.4,522.0,91.0,26.4,2.2,0.0,0.24,https://th.bing.com/th/id/OIP.eRxsCdAunqzHLQJWZg9lKQHaHa?o=7rm=3&rs=1&pid=ImgDetMain
Dal Makhani,0,0,109,8.5,2.1,35.2,8.3,243.0,366.0,6.3,1.5,0.0,3.29,https://th.bing.com/th/id/OIP.pSEGKJwkc3JWMBhb9b1PZgHaHa?rs=1&pid=ImgDetMain
Mushrooms,0,0,22,0.3,3.1,0.5,3.0,5.0,318.0,3.3,1.0,7.0,2.0,https://th.bing.com/th/id/R.99d6bbe7f794eb1120f02767d4bbf73d?rik=4Ong1eLCydT2uA&pid=ImgRaw&r=0
Boiled Potatoes,0,0,87,0.1,1.9,0.31,5.0,240.0,379.0,20.0,2.0,0.0,0.9,https://th.bing.com/th/id/OIP.yPlsAr6gVleyv5ljB8zAFAHaHa?rs=1&pid=ImgDetMain
White Rice,0,0,360,0.6,6.6,4.36,9.0,1.0,86.0,79.0,1.4,0.0,0.0,https://th.bing.com/th/id/OIP.yPlsAr6gVleyv5ljB8zAFAHaHa?rs=1&pid=ImgDetMain
Greek yogurt plain,0,0,73,1.9,10.0,0.04,115.0,34.0,141.0,3.9,0.0,0.0,3.6,https://th.bing.com/th/id/OIP.XnLvWVktpf2pS1eb0vGXKAHaHa?o=7rm=3&rs=1&pid=ImgDetMain
Cottage cheese with vegetables,0,0,95,4.2,11.0,0.1,56.0,403.0,86.0,3.0,0.1,0.0,0.4,https://th.bing.com/th/id/OIP.uw-I4l_tQBeFWPEy8cxavgHaE8?rs=1&pid=ImgDetMain
Salmon,1,0,127,4.4,21.0,0.38,7.0,75.0,366.0,0.0,0.0,435.0,0.0,https://th.bing.com/th/id/OIP.uw-I4l_tQBeFWPEy8cxavgHaE8?rs=1&pid=ImgDetMain
Beans,0,0,31,0.2,1.8,1.03,37.0,6.0,211.0,7.0,2.7,0.0,3.3,https://th.bing.com/th/id/OIP.NPA3NW4kQ3Ea0HC4ol99dgHaE8?rs=1&pid=ImgDetMain
Lentils,0,0,101,0.5,8.8,3.1,14.0,246.0,284.0,21.0,0.0,0.0,0.0,https://th.bing.com/th/id/R.15e59ad8c11d5b90eb18a7fd53aa5fb7?rik=5Wk3BJqT6rJ0lw&pid=ImgRaw&r=0
Pasta with corn homemade,0,0,126,0.7,2.6,0.25,1.0,0.0,31.0,28.0,4.8,0.0,0.0,https://th.bing.com/th/id/OIP.edpdrhsbfV_T9SqhnFsukQHaLH?rs=1&pid=ImgDetMain
Goat meat,1,0,109,2.3,21.0,2.83,13.0,82.0,385.0,57.0,0.0,0.0,0.0,https://th.bing.com/th/id/R.b30d2cd81b6ff441fd8a236c8dae0359?rik=6ziskWhhRYt1UQ&pid=ImgRaw&r=0
Rabbit meat,1,0,114,2.3,22.0,3.2,12.0,50.0,378.0,0.0,0.0,0.0,0.0,https://th.bing.com/th/id/OIP.7Hnkb53uaQ7lnxyfsI4v8QHaE8?rs=1&pid=ImgDetMain
Chicken Strips,1,0,295,15.0,19.0,0.72,11.0,798.0,334.0,22.0,1.1,0.0,0.3,https://th.bing.com/th/id/OIP.7Hnkb53uaQ7lnxyfsI4v8QHaE8?rs=1&pid=ImgDetMain
Steak Fries,1,1,255,13.0,3.3,0.69,19.0,43.0,551.0,31.0,3.5,0.0,0.9,https://th.bing.com/th/id/OIP.G1PxWcGVWtIlk_yfPkRvyAHaHa?rs=1&pid=ImgDetMain
Mexican Rice,0,0,195,4.9,3.6,1.18,39.0,677.0,131.0,34.0,1.1,0.0,1.4,https://th.bing.com/th/id/R.3033229e917b9f9129f4b8467e3e0fa4?rik=8UbtApKj5s%2bvLA&pid=ImgRaw&r=0
Fried Shrimp,1,1,319,20.0,14.0,1.54,47.0,1400.0,128.0,21.0,1.5,0.0,0.8,https://th.bing.com/th/id/R.6ffd0e9e70c66caee7d6a1aef92ee3db?rik=lWFtFvSj%2fBkDrQ&pid=ImgRaw&r=0
Spaghetti and meatballs,1,1,170,8.5,7.8,1.29,45.0,351.0,206.0,16.0,1.5,0.0,2.0,https://th.bing.com/th/id/R.ef67b9729545c9f617d33b30b4b98850?rik=rz%2faTdDvwTzrSg&pid=ImgRaw&r=0
Macroni n Cheese,0,0,194,12.0,6.5,57.0,145.0,375.0,127.0,16.0,1.1,0.0,2.8,https://th.bing.com/th/id/R.c3beef0d8978b0b987ce06c4fc5a42cd?rik=Qn3NOBazu1x1FQ&riu=http%3a%2f%2fcdn2.tmbi.com%2fTOH%2fImages%2fPhotos%2f37%2f1200x1200%2fHerbed-Macaroni-and-Cheese_exps4353_CAS2375015A09_08_1b_RMS.jpg&ehk=ubfvpTdbzd9S0V1YuA%2bqNNjEd01SdccHqLl6byX8I8w%3d&risl=&pid=ImgRaw&r=0
Pork cooked,1,0,297,21.0,26.0,1.29,22.0,73.0,362.0,0.0,0.0,0.0,0.0,https://th.bing.com/th/id/OIP.n_yJw_mn1vOWgrx_ahc6JwHaE8?rs=1&pid=ImgDetMain
Bacon cooked,1,0,146,2.8,28.0,0.56,7.0,993.0,999.0,1.8,0.0,0.0,1.2,https://th.bing.com/th/id/OIP.BGnKbVqAc2LUwq5akAHv3wHaE8?rs=1&pid=ImgDetMain
Nachos,0,0,350,22.0,4.3,0.75,63.0,313.0,362.0,35.0,3.2,0.0,2.2,https://th.bing.com/th/id/OIP.QKAMqBji5-zHpkV5gpzQ5AHaGE?rs=1&pid=ImgDetMain
Chicken Popcorn,1,0,351,22.0,18.0,1.42,32.0,1140.0,288.0,21.0,1.0,0.0,0.0,https://th.bing.com/th/id/OIP.e26NDdbZaGRqSuSNZjOjOwHaHa?rs=1&pid=ImgDetMain
Turkey cooked,1,0,203,10.0,27.0,1.52,28.0,78.0,294.0,0.0,0.0,8.0,0.0,https://th.bing.com/th/id/OIP.XdfTPoVXMSMH31z8t3ebogHaHa?rs=1&pid=ImgDetMain
Oyster cooked,1,0,159,4.0,29.0,4.9,6.0,81.0,409.0,0.0,0.0,0.0,0.0,https://th.bing.com/th/id/OIP.W6XO_8WSt3WA5N8m-FAUSwAAAA?rs=1&pid=ImgDetMain
Honey,0,0,304,0.0,0.3,0.42,6.0,4.0,52.0,82.0,0.2,0.0,82.0,https://th.bing.com/th/id/OIP.N5gIH0CTBK4m_lcJjSpF0wHaFi?rs=1&pid=ImgDetMain
Chocolate Icecream,0,1,216,11.0,3.8,0.93,109.0,76.0,249.0,28.0,1.2,0.0,25.0,https://th.bing.com/th/id/OIP.3Uoroez-JGH1L0Wb6NN2owHaHa?rs=1&pid=ImgDetMain
Vanilla Ice cream,0,1,207,11.0,3.5,0.09,128.0,80.0,199.0,24.0,0.7,0.0,21.0,https://th.bing.com/th/id/R.6838e3fc2cb92976154c5e140b4a6326?rik=M8%2bfH5PimvuMUA&pid=ImgRaw&r=0
Strawberry Icecream,0,1,192,8.4,3.2,0.21,120.0,60.0,188.0,28.0,0.9,0.0,0.0,https://th.bing.com/th/id/R.6838e3fc2cb92976154c5e140b4a6326?rik=M8%2bfH5PimvuMUA&pid=ImgRaw&r=0
Marshmallows,0,1,318,0.2,1.8,0.23,3.0,80.0,5.0,81.0,0.1,0.0,58.0,https://th.bing.com/th/id/OIP.HEtJRhAIuLlAIjdvhxHo1QHaE6?rs=1&pid=ImgDetMain
Rice Pudding,0,0,376,0.1,2.7,1.79,14.0,366.0,5.0,91.0,0.7,0.0,0.0,https://th.bing.com/th/id/OIP._-rvb50qwem2K-YMHt-2YQHaLH?rs=1&pid=ImgDetMain
gundruk,0,0,180,12.0,4.0,0.018,18.0,1000.0,5.0,12.0,0.0,0.0,0.0,https://th.bing.com/th/id/R.f57e0d48f8b1f2901c40d4081734d885?rik=tJdgR1RWzdDwKQ&riu=http%3a%2f%2f2.bp.blogspot.com%2f-tKEbIqfpuZo%2fU3Q3x87wGbI%2fAAAAAAAABXU%2fhXWvoWFADIU%2fs1600%2fDSC04144.JPG&ehk=2uNRJn1CqQDPRc7elqUzJJ5bsLXK%2bAj9GRISj9GmDEc%3d&risl=&pid=ImgRaw&r=0
Dhido,0,0,100,1.0,50.0,18.0,1000.0,5.0,26.0,1.0,0.0,0.0,0.0,https://th.bing.com/th/id/R.ad01b14daaa3901a4e619155b123b937?rik=VD4fvW%2bsTZ1vUg&riu=http%3a%2f%2fwww.wikihow.com%2fimages%2fb%2fbd%2fNepali-dhido-.jpg&ehk=KGGHB%2fIGo2kxnYlHM0Fb8feaCBWDPZYEkd7hUMwOPBI%3d&risl=&pid=ImgRaw&r=0
Aloo Tama,0,0,482,20.0,10.0,0.702,1250.0,0.0,0.0,65.5,0.8,0.0,0.1,https://images.slurrp.com/prod/recipe_images/transcribe/main%20course/Aloo-tama.webp
chicken sekuwa,1,0,450,8.0,33.0,0.0,0.0,700.0,0.0,63.0,0.0,0.0,4.0,https://images.slurrp.com/prod/recipe_images/transcribe/main%20course/Aloo-tama.webp
chicken choilaa,1,0,541,40.0,43.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,https://th.bing.com/th/id/OIP.a8bTgnAB9DgTS2md8uEjcAHaEx?rs=1&pid=ImgDetMain
kachila,1,0,100,1.0,50.0,18.0,1000.0,5.0,26.0,1.0,0.0,0.0,0.0,https://th.bing.com/th/id/OIP.NkD_YgOO5YRwahjByC8OngHaE8?rs=1&pid=ImgDetMain
churpii,0,0,20,1.5,2.0,0.0,60.0,82.0,0.0,0.0,0.0,0.0,0.0,https://th.bing.com/th/id/OIP.JpoAqRuDKgo4toClwYA3RwHaDn?rs=1&pid=ImgDetMain
sisnu shoop,0,0,37,0.1,2.4,1.458,428.0,3.6,297.3,6.7,6.1,0.0,0.2,https://drivetonortheast.com/uploads/blog/images/blog-1651-3982.jpg
kheer,0,0,282,6.8,8.0,0.0,400.0,83.0,19.0,47.6,0.2,0.0,43.7,https://drivetonortheast.com/uploads/blog/images/blog-1651-3982.jpg
juju dhau,0,0,200,9.0,20.0,0.0,600.0,180.0,0.0,12.0,0.0,0.0,12.0,https://th.bing.com/th/id/R.db810e724c8749ffce504f4ab0d2b643?rik=OWYeaf9UVf6xgw&pid=ImgRaw&r=0
lassi,0,0,154,4.5,2.6,0.9,300.0,0.0,0.0,25.0,0.0,0.0,15.0,https://4.bp.blogspot.com/-pJCbl_geUAg/U0NfkAX350I/AAAAAAAAPzc/YVVzYGIcO2Q/s1600/Lassi6.JPG
Sukuti,0,0,289,6.7,53.9,0.0,0.0,3.7,0.0,3.3,0.0,0.0,1.5,https://th.bing.com/th/id/OIP.Rjb8o3LVD9bbhu_-nSVOIgHaFA?rs=1&pid=ImgDetMain
Rajhma,0,0,151,7.1,7.0,2.196,65.0,167.4,362.4,24.2,0.0,0.0,3.7,https://th.bing.com/th/id/R.71ad2055bb746d7732877dfde16dbb91?rik=xoPco60CNm6dZA&pid=ImgRaw&r=0
